date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-02-13 00:00:00+00:00,2026,2,13,port631,Lamu,Kenya,KEN,1,0,1,0,0,2,2,3439,0,0,0,0,3439,3439,0,0,10793,0,0,10793,10793
2026-02-13 00:00:00+00:00,2026,2,13,port757,Mombasa,Kenya,KEN,2,2,1,0,0,5,5,17403,81068,0,0,0,98472,98472,0,0,1033,0,0,1033,1033
2026-02-12 00:00:00+00:00,2026,2,12,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-12 00:00:00+00:00,2026,2,12,port757,Mombasa,Kenya,KEN,2,1,1,0,2,4,6,18055,35572,329,0,31463,53957,85420,0,0,0,0,0,0,0
2026-02-11 00:00:00+00:00,2026,2,11,port631,Lamu,Kenya,KEN,2,0,1,0,0,3,3,3567,0,595,0,0,4163,4163,10457,0,1414,0,0,11872,11872
2026-02-11 00:00:00+00:00,2026,2,11,port757,Mombasa,Kenya,KEN,3,1,1,0,0,5,5,38787,60607,1263,0,0,100658,100658,0,0,131,0,0,131,131
2026-02-10 00:00:00+00:00,2026,2,10,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-10 00:00:00+00:00,2026,2,10,port757,Mombasa,Kenya,KEN,0,0,1,1,0,2,2,0,0,2127,0,0,2127,2127,0,0,955,0,0,955,955
2026-02-09 00:00:00+00:00,2026,2,9,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3986,0,0,0,0,3986,3986
2026-02-09 00:00:00+00:00,2026,2,9,port757,Mombasa,Kenya,KEN,3,1,0,1,0,5,5,30685,37109,0,0,0,67794,67794,0,0,0,0,0,0,0
2026-02-08 00:00:00+00:00,2026,2,8,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,391,0,0,0,0,391,391,0,0,0,0,0,0,0
2026-02-08 00:00:00+00:00,2026,2,8,port757,Mombasa,Kenya,KEN,4,0,1,1,1,6,7,43328,0,2127,0,44234,45455,89690,685,0,955,0,0,1640,1640
2026-02-07 00:00:00+00:00,2026,2,7,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,595,0,0,595,595,0,0,1414,0,0,1414,1414
2026-02-07 00:00:00+00:00,2026,2,7,port757,Mombasa,Kenya,KEN,1,2,2,0,1,5,6,13986,53773,0,0,47074,67759,114834,0,0,3871,0,0,3871,3871
2026-02-06 00:00:00+00:00,2026,2,6,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-06 00:00:00+00:00,2026,2,6,port757,Mombasa,Kenya,KEN,0,0,0,1,1,1,2,0,0,0,0,94421,0,94421,0,0,0,604,0,604,604
2026-02-05 00:00:00+00:00,2026,2,5,port631,Lamu,Kenya,KEN,1,0,1,0,0,2,2,28609,0,1729,0,0,30339,30339,0,0,0,0,0,0,0
2026-02-05 00:00:00+00:00,2026,2,5,port757,Mombasa,Kenya,KEN,3,0,1,0,1,4,5,38993,0,2127,0,25095,41121,66217,0,0,955,0,0,955,955
2026-02-04 00:00:00+00:00,2026,2,4,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-04 00:00:00+00:00,2026,2,4,port757,Mombasa,Kenya,KEN,2,1,0,0,0,3,3,2121,32561,0,0,0,34683,34683,0,0,0,0,0,0,0
2026-02-03 00:00:00+00:00,2026,2,3,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,1886,0,0,0,0,1886,1886,0,0,0,0,0,0,0
2026-02-03 00:00:00+00:00,2026,2,3,port757,Mombasa,Kenya,KEN,2,1,0,0,1,3,4,21400,53477,0,0,0,74878,74878,0,0,0,0,0,0,0
2026-02-02 00:00:00+00:00,2026,2,2,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,396,0,0,0,0,396,396
2026-02-02 00:00:00+00:00,2026,2,2,port757,Mombasa,Kenya,KEN,2,1,1,0,1,4,5,33418,46988,0,0,0,80407,80407,0,0,203,0,0,203,203
2026-02-01 00:00:00+00:00,2026,2,1,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-01 00:00:00+00:00,2026,2,1,port757,Mombasa,Kenya,KEN,1,0,1,1,0,3,3,487,0,1332,0,0,1820,1820,0,0,0,0,0,0,0
2026-01-31 00:00:00+00:00,2026,1,31,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,1151,0,0,1151,1151,0,0,0,0,0,0,0
2026-01-31 00:00:00+00:00,2026,1,31,port757,Mombasa,Kenya,KEN,2,1,2,0,1,5,6,0,47966,13567,0,92116,61533,153649,13280,0,955,0,0,14235,14235
2026-01-30 00:00:00+00:00,2026,1,30,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-30 00:00:00+00:00,2026,1,30,port757,Mombasa,Kenya,KEN,2,1,1,1,0,5,5,36486,0,2127,0,0,38613,38613,0,0,955,0,0,955,955
2026-01-29 00:00:00+00:00,2026,1,29,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-29 00:00:00+00:00,2026,1,29,port757,Mombasa,Kenya,KEN,1,3,0,0,2,4,6,0,80950,0,0,101508,80950,182459,3405,1327,0,0,0,4733,4733
